E21 17204 0079,,2021 Koehler Ave.,,,,,
E20 17105A0093,,2201 Fairport Ave.,,,,,
K46 00330 0013,,425 S Second St,,,,,
E21 17602 0013,,2228 Cardinal Ave.,,,,,
E20 17614 0004,,4189 Lobata,,,,,
I39 00717 0004,,2512 Valley St,,,,,
G27 24511 0020,,5122 Lounsbury Drive,,,,,
E20 17102 0071,,3561 Evansville Ave,,,,,
M58 00103 0009,,106 Randolph Street,,,,,
H33 00108 0023,,12 Rio Grande,,,,,
K46 00112 0050,,638 Sennett Street,,,,,
E20 17417 0006,,4228 Thompson Drive,,,,,
H33 00109 0033,,22 Rio Grande Avenue,,,,,
E21 17602 A0034,,2143 Cardinal Ave,,,,,
E21 19016 0016,,2645 Maplegrove,,,,,
N64 40040 40049,,2101 Courtland Ave,,,,,
P70 01803 0001,,7760 Berchman Drive,,,,,
E21 17303 0199,,2435 Neva Drive,,,,,
P70 03903 0038,,9768 S. Palmer Road,,,,,
E21 17303 0179,,2432 Berwyck,,,,,
G27 01606 0134,,Mile Road,,,,,
K47 22901 0059,,4829 Cordell Drive,,,,,
N64 00403 0052,,2008 Courtland Avenue,,,,,
K47 22903 0059,,4982 Lamme Road,,,,,
E20 17102A0038,,3512 Michigan Avenue,,,,,
G27 24508 0007,,4913 Tenshaw Drive,,,,,
K46 00904 0006,,Orchard Hill Drive,,,,,
K46 00904 0007,,5505 Orchard Hill Drive,,,,,
E21 17205A0040,,2246 Sherer Avenue,,,,,
E21 17205A0041,,Sherer Avenue,,,,,
E21 17306 0126,,2538 Oneida Drive,,,,,
E20 17614 0013,,3673 Yellowstone Avenue,,,,,
M58 00103 0047,,106 W. Martindale Rd,,,,,
J44121004 0036,,3401 Parallel Rd,,,,,
I39 00617 0028,,304 Waneta,,,,,
I39 00908 0048,,231 Chesterfield Circle,,,,,
I39401318 0019,,1164 Jeanette Drive,,,,,
I39 01007 0012,,123 Ellington Rd,,,,,
I39 01020 0019,,2257 Hazelton Ave,,,,,
E21 17303A0003,,3233 Lodge Ave,,,,,
M58 00103 0001,,104 S. Randolph St,,,,,
L52 00112 0007,,39 Gloria Ave,,,,,
B02 00602 0042,,1340 S. Dixie ,,,,,
J44 20903 0017,,2745 Gladstone St,,,,,
I39 00714 0044,,2141 Rondowa Ave,,,,,
K46 00112 01014,,737 E. Sycamore St,,,,,
L55 16505 0001,,Brookville Pyrmont Rd,,,,,
L55 16505 0004,,Harriet Ln,,,,,
L55 16505 0005,,Harriet Ln,,,,,
E20 17013 0010,,4201 Saylor St,,,,,
I39 02004 0043,,4534 Airway Rd,,,,,
I39 01004 0044,,4538 Airway Rd,,,,,
I39 01111 0026,,558 Ketcham St,,,,,
,,222 Obispe Rd,,,,,
K47 18441 0041,,2355 Lehigh,,,,,
M60 00301 0008,,Diamond Mill Road,,,,,
M60 00301 0012,,380 Diamond Mill Road,,,,,
L52 00101 0213,,N Church St,,,,,
R72 03306 0034,,247 Medford ,,,,,
R72 03307 0048,,253 Medford ,,,,,
E20 24201 0004,,3842 Otis Drive,,,,,
E20 24201 0005,,3842 Otis Drive,,,,,
N64 01006 0016,,2118 Craig Dr,,,,,
R72 14403 0012,,2921 Grace Ave,,,,,
R72 14805 0037,,104 Marlboro Pl,,,,,
E20 17102B0105,,3809 Monroe,,,,,
R72 15914 0043,,4612 Owens Dr,,,,,
R72 03608 0001,,1352 Phillips Ave,,,,,
R72 05301 0042,,524 Troy St,,,,,
P70 01803 0001,,7760 Berchman,,,,,
E21 17303 0179,,2432 Berwyck,,,,,
E21 17602 A0034,,2143 Cardinal Ave,,,,,
K47 22901 0059,,4829 Cordell Dr,,,,,
N64 00403 0052,,2008 Courtland Ave,,,,,
N64 00404 0049,,2101 Courtland Ave,,,,,
L53 02908 0036,67,660 Crawford Toms Run,,,,,
G27 01611 0007,,Dayton-Liberty Road,,,,,
E21 010058 0044,0048,5725 Frederick,,,,,
N64 02713 0010,,2977 Glengarry Dr,,,,,
K47 22903 0059,,4982 Lamme Rd,,,,,
G27 24511 0020,,5122 Lounsbury Dr,,,,,
E21 17601 0017,18,2310 Martin Ave,,,,,
R72 08405T 0047,,1121 W. Second St,,,,,
E21 17208 0201,,4808 Sugartree Drive,,,,,
E21 17204 0083,,2105 Koehler Ave,,,,,
E21 17303 A0003,,3233 Lodge Avenue,,,,,
E21 19016 0016,,2645 Maplegrove Avenue,,,,,
G27 01606 0134,,Mile Road,,,,,
E21 17303 0199,,2435 Neva Drive,,,,,
H33 001 0023,,12 Rio Grande Drive,,,,,
H33 00109 0033,,22 Rio Grande Drive,,,,,
K46 00330 0013,,425 S. 2nd Street,,,,,
K46 00112 0050,,638 Sennett St.,,,,,
J44 128204 0033,,5144 Lauderdale Drive,,,,,
R72516818 0016,,1400 Norville Court,,,,,
E20 17004 0019,,648 Syracuse Avenue,,,,,
K46 00222 0084,85,19 N. Tenth Street,,,,,
G27 18216 0037,,5073 Leedale Drive,,,,,
M60 16308 0017,18,7900 Harrington Ave,,,,,
I39 01113 0008,,740 Wagon Wheel Drive,,,,,
H33 00314 0001,,9 Carma Drive,,,,,
I39 01111 0026,,558 Ketcham St,,,,,
I39 00908 0048,,231 Chesterfield Cr,,,,,
E20 17007 0113,,268 Castlewood Ave,,,,,
H33301105 0017,,4222 Wolf Road,,,,,
