E21 19003 0183,DEEPWOOD DR,Yes,False,2011,False,R,000000000000.00
E21 19003 0185,DEEPWOOD DR,Yes,False,2011,False,R,000000000000.00
D14 00903 0002,9871 GERMANTOWN MIDDLETOWN PIKE,Yes,False,2013,True,A,000000000660.00
E20 17102 0114,EVANSVILLE AVE,Yes,False,2012,True,R,000000000000.00
E20 17102 0113,3508 EVANSVILLE AVE,Yes,False,2014,False,R,000000034370.00
K46 01623 0003,MIAMISBURG SPRINGBORO RD,Yes,True,2013,True,A,000000000000.00
G29 18202 0040,240 CHAIN AVE,Yes,False,1996,False,R,000000000000.00
I39 00714 0063,2404 BUSHNELL AVE,Yes,False,2005,False,R,000000000000.00
H33300813 0030,214 NORFOLK AVE,Yes,False,2010,False,R,000000014610.00
I39 00715 0025,2551 RONDOWA AVE,Yes,False,2011,False,R,000000038530.00
H33 00117 0035,34 NONA DR,No,False,2016,True,R,000000027690.00
P70 01607 0001,5757 HINCKLEY CT,Yes,True,2014,True,R,000000062380.00
K48 00413 0017,1012 CATALINA DR,Yes,True,2014,True,R,000000079490.00
L55 16506 0007,4582 N SULPHUR SPRINGS RD,No,False,2016,True,R,000000048370.00
P70 01513 0032,5506 CHAMBERSBURG RD,Yes,False,2013,False,R,000000034830.00
H33300813 0053,NORFOLK AVE,Yes,False,1996,False,E,000000000000.00
P70 00117 0031,7721 ROTHFIELD DR,Yes,False,2014,False,R,000000061210.00
N64 00902 0005,165 CHATHAM DR,Yes,False,2014,False,R,000000078090.00
G27 18309 0098,203 BRICKER AVE,Yes,False,2012,True,C,000000012740.00
G29 18201 0136,OBERLIN AVE,Yes,False,1999,False,R,000000000000.00
E21 17303 0002,3362 LODGE AVE,Yes,False,2012,True,R,000000027710.00
K48 00101 0028,14 E HOME AVE,Yes,False,2014,False,R,000000039650.00
H33 00418 0014,808 BRADFIELD DR,Yes,False,2014,False,R,000000063400.00
E21 17307 0225,ONTARIO AVE,Yes,False,2007,False,E,000000000000.00
E21 17209 0002,WOODLAND HILLS BLVD,Yes,False,2000,False,R,000000000000.00
J44120910 0028,4200 KETTERING BLVD,Yes,False,2012,True,C,000000118540.00
H33 01120 0004,4559 GUADALUPE AVE,Yes,False,2008,False,R,000000021050.00
K46 00216 0020,415 N FOURTH ST,Yes,False,2014,False,R,000000066760.00
N64 02910 0003,2385 SPRINGMILL RD,Yes,False,2014,False,R,000000110860.00
G29 18205 0028,107 S IONA AVE,Yes,True,2012,True,R,000000010030.00
N64 02910 0004,2393 SPRINGMILL RD,No,False,2016,True,R,000000125630.00
H33 01204 0029,1322 GRAYSTONE DR,Yes,False,2009,False,R,000000016860.00
H33300901 0064,5209 SHASTA AVE,Yes,False,2014,False,E,000000000000.00
G27 24601 0002,5333 BIRDLAND AVE,Yes,False,2014,False,R,000000072040.00
B02 00304 0001,117 BROWN SCHOOL RD,Sold,False,2016,True,R,000000081820.00
H33 00504 0003,N UNION RD,Yes,False,2011,False,R,000000000000.00
I39 00605 0019,728 MENTOR AVE,Yes,False,2013,True,R,000000000570.00
J44121013 0035,4542 S DIXIE DR,No,False,2016,True,C,000000000000.00
O68 01730 0017,9770 COBBLEWOOD CT,No,False,2016,True,R,000000182720.00
M60 16314 0011,8640 N MAIN ST,Yes,False,2012,True,C,000000047530.00
E20 17704 0008,3652 W SIEBENTHALER AVE,Yes,False,2014,False,R,000000017470.00
P70 00202 0756,4087 NAVAJO AVE,Sold,False,2016,True,R,000000034400.00
K48 50422 0094,1100 ARROWHEAD XING,Yes,False,2013,False,R,000000032260.00
I39 00118 0014,4397 BYESVILLE BLVD,Yes,True,2011,False,R,000000015600.00
O67 51317 0043,WATERSTONE BLVD,No,False,2016,True,R,000000005230.00
O68 00106 0008,168 FRANKLIN ST,No,False,2016,True,C,000000083540.00
M60 25407 0011,4961 SCOTHILLS DR,No,False,2016,True,R,000000056520.00
F25 00000 8001,JACKSON TWP,Yes,False,2014,False,U,000000000000.00
H33300821 0025,MILLER AVE,Yes,False,1997,False,R,000000000000.00
H33300821 0026,144 MILLER AVE,Yes,False,2004,False,R,000000000000.00
I39 00618 0040,321 HYPATHIA AVE,Yes,False,2014,False,R,000000023940.00
H33 02210 0051,6363 POST TOWN RD,Yes,False,2014,False,R,000000024570.00
I39 01015 0022,219 ORINOCO ST,Yes,False,2014,False,R,000000053180.00
B02 00107 0018,220 LOCKHEED DR,Yes,False,2014,False,R,000000039350.00
F24 00101 0090,57 SUNSET ST,Yes,False,2014,False,R,000000040100.00
N64 00809 0201,713 EAST DR,No,False,2016,True,R,000000000000.00
N64 01122 0005,3757 S DIXIE HWY,Yes,False,2014,False,C,000000415380.00
K46 00712 0008,1221 N HEINCKE RD,No,False,2016,True,R,000000131300.00
J44120914 0172,3608 COZY CAMP RD,Yes,False,2013,False,R,000000017130.00
I39 00117 0009,4331 BYESVILLE BLVD,Yes,False,2014,False,R,000000024230.00
G27 18316 0052,4842 ERICSON AVE,Yes,False,2009,False,R,000000005740.00
E21 17403 0100,2039 ONTARIO AVE,No,False,2016,True,R,000000020210.00
I39101408 0061,1051 SPINNING RD,No,False,2016,True,R,000000040110.00
E20 17102 0162,3616 PITTSBURG AVE,Yes,False,2009,True,R,000000011570.00
H33302212 0055,LITTLE RICHMOND RD,Yes,False,2006,False,R,000000000000.00
H33301015 0078,4067 REDONDA LN,No,False,2016,True,R,000000024890.00
P70 01713 0007,6512 HEMINGWAY RD,Yes,False,2014,False,R,000000047090.00
H33300811 0006,179 N LANSDOWNE AVE,Yes,False,2005,False,R,000000000000.00
K46 00112 0203,428 N SIXTH ST,No,False,2016,True,R,000000034080.00
L52 00114 0029,200 ALSTEAD DR,Yes,True,2014,True,R,000000044120.00
J44121002 0103,VENETIAN WAY,Yes,False,2007,False,R,000000000000.00
C04 00511 0040,NATIONAL RD,Yes,False,2014,False,R,000000000000.00
E21 24310 0013,5741 LILY LN,Yes,False,2013,True,R,000000026560.00
G27 18309 0142,PARSONS AVE,Yes,False,2008,False,E,000000042930.00
H33301017 0024,4015 BRUMBAUGH BLVD,Yes,True,2013,False,R,000000043550.00
E21 17601 0069,2235 BLAKE AVE,Yes,True,2013,True,R,000000038140.00
P70 01812 0017,7309 MARINGO DR,Yes,False,2014,False,R,000000047130.00
P70 01814 0023,6551 HIGHBURY RD,Yes,False,2014,False,R,000000052140.00
I39 01108 0012,5151 BAYSIDE DR,Yes,False,2013,True,R,000000051160.00
H33 01222 0003,5180 OSCEOLA DR,Yes,False,2010,False,R,000000023230.00
H33 00301 0037,114 S BROADWAY ST,Yes,True,2014,True,R,000000077380.00
E21 19003 0292,ELKWOOD DR,Yes,False,2013,False,R,000000000000.00
H33301010 0077,4485 REDONDA LN,Yes,False,2013,False,R,000000023330.00
B02 00101 0021,53 N PERRY ST,No,False,2016,True,R,000000042400.00
M57 00902 0001,WENGER RD,No,False,2016,True,R,000000000000.00
E21 17306 0190,2550 NEVA DR,Yes,False,2006,False,R,000000000000.00
H33 02205 0023,8120 WOLF CREEK PIKE,Yes,True,2013,True,R,000000041310.00
H33300905 0066,4225 GARDENDALE AVE,Yes,False,2009,False,R,000000000000.00
E21 19016 0005,2420 NEFF RD,Sold,False,2016,True,R,000000033590.00
H33301311 0013,3620 HERMOSA DR,Yes,False,2014,False,R,000000064110.00
H33301018 0026,4028 MYRON AVE,Yes,True,2011,False,R,000000055130.00
P70 01813 0039,6429 LEAWOOD DR,Yes,False,2014,False,R,000000056640.00
N64 02716 0006,2317 E WHIPP RD,No,False,2016,True,R,000000105810.00
K48 50421 0160,1008 LOOKOUT TRL,Yes,False,2014,False,R,000000000140.00
H33 02302 0031,5949 HOOVER AVE,Yes,False,2014,False,R,000000046390.00
H33301314 0003,4880 THORAIN CT,No,False,2016,True,R,000000045420.00
O67 22015 0015,160 SHADYBROOK DR,Yes,False,2014,False,R,000000110870.00
H33300902 0032,157 PATTON AVE,No,False,2016,True,R,000000007070.00
H33301122 0013,4293 THOMPSON DR,Yes,False,2013,False,R,000000025350.00
P70 00917 0007,5560 PINTAIL CT,Yes,False,2014,False,R,000000093520.00
B02 00129 0015,97 BROWN SCHOOL RD,No,False,2016,True,R,000000067680.00
B02 01324 0003,E NATIONAL RD,Yes,False,2013,True,R,000000000000.00
H33300904 0013,4151 FREUDENBERGER AVE,Yes,False,2013,False,R,000000021300.00
